Reporter_code,Reporter_description,Partner_code,Partner_description,Indicator_code,Indicator_description,Flow_Code,Flow_Description,Year,Unit,Value,Flag,Source_Description,Note
CN,China,WL,World,MA,Manufactures,M,Imports,1990,million USD,42385.057,,WTO,
CN,China,WL,World,MACL,Clothing,X,Exports,1990,million USD,9669.191,,WTO,
CN,China,WL,World,MAMTOF,Office and telecom equipment,M,Imports,1990,million USD,4058,,WTO,
CN,China,WL,World,MAMTOF,Office and telecom equipment,X,Exports,1990,million USD,3126,,WTO,
CN,China,WL,World,MIFU,Fuels,M,Imports,1990,million USD,1259.215,,WTO,
CN,China,WL,World,TO,Total merchandise,M,Imports,1991,million USD,63791,,WTO,
CN,China,WL,World,TO,Total merchandise,X,Exports,1991,million USD,71910,,WTO,
CN,China,WL,World,MACL,Clothing,X,Exports,1991,million USD,12244.691,,WTO,
CN,China,WL,World,MAMT,Machinery and transport equipment,X,Exports,1991,million USD,13908.116,,WTO,
CN,China,WL,World,MAIS,Iron and steel,M,Imports,1991,million USD,2694.182,,WTO,
CN,China,WL,World,MIFU,Fuels,M,Imports,1991,million USD,2094.348,,WTO,
CN,China,WL,World,MACL,Clothing,M,Imports,1991,million USD,61.051,,WTO,
CN,China,WL,World,MACHPH,Pharmaceuticals,M,Imports,1991,million USD,520.371897,,WTO,
CN,China,WL,World,MAMTOF,Office and telecom equipment,M,Imports,1991,million USD,4782,,WTO,
CN,China,WL,World,MAMTOTEP,Electronic data processing and office equipment,X,Exports,1991,million USD,524.151914,,WTO,
CN,China,WL,World,AG,Agricultural products,M,Imports,1991,million USD,7833.673,,WTO,
CN,China,WL,World,MAMTOTTL,Telecommunications equipment,X,Exports,1991,million USD,3006.812624,,WTO,
CN,China,WL,World,AGFO,Food,M,Imports,1991,million USD,3904.928,,WTO,
CN,China,WL,World,MACH,Chemicals,M,Imports,1991,million USD,9326.532,,WTO,
CN,China,WL,World,MAMT,Machinery and transport equipment,M,Imports,1991,million USD,25664.889,,WTO,
CN,China,WL,World,MAMTOTIC,Integrated circuits and electronic components,X,Exports,1991,million USD,184.035462,,WTO,
CN,China,WL,World,MAMTOTEP,Electronic data processing and office equipment,M,Imports,1991,million USD,968.03134,,WTO,
CN,China,WL,World,MACH,Chemicals,X,Exports,1991,million USD,3851.643,,WTO,
CN,China,WL,World,MI,Fuels and mining products,M,Imports,1991,million USD,4184.127763,,WTO,
CN,China,WL,World,MAIS,Iron and steel,X,Exports,1991,million USD,1669.125,,WTO,
CN,China,WL,World,MAMTOTTL,Telecommunications equipment,M,Imports,1991,million USD,2781.601411,,WTO,
CN,China,WL,World,AG,Agricultural products,X,Exports,1991,million USD,10894.601,,WTO,
CN,China,WL,World,MA,Manufactures,M,Imports,1991,million USD,51556.832,,WTO,
CN,China,WL,World,MACHPH,Pharmaceuticals,X,Exports,1991,million USD,773.78704,,WTO,
CN,China,WL,World,MAMTAU,Automotive products,X,Exports,1991,million USD,411,,WTO,
CN,China,WL,World,MIFU,Fuels,X,Exports,1991,million USD,4625,,WTO,
CN,China,WL,World,MA,Manufactures,X,Exports,1991,million USD,54246.456,,WTO,
CN,China,WL,World,MATE,Textiles,X,Exports,1991,million USD,8013.772,,WTO,
CN,China,WL,World,MATE,Textiles,M,Imports,1991,million USD,6751.131,,WTO,
CN,China,WL,World,MI,Fuels and mining products,X,Exports,1991,million USD,5977.903216,,WTO,
CN,China,WL,World,MAMTOF,Office and telecom equipment,X,Exports,1991,million USD,3715,,WTO,
CN,China,WL,World,AGFO,Food,X,Exports,1991,million USD,8821.212,,WTO,
CN,China,WL,World,MAMTOTIC,Integrated circuits and electronic components,M,Imports,1991,million USD,1032.367249,,WTO,
CN,China,WL,World,TO,Total merchandise,M,Imports,1992,million USD,80585,,WTO,
CN,China,WL,World,TO,Total merchandise,X,Exports,1992,million USD,84940,,WTO,
CN,China,WL,World,MAMTOTEP,Electronic data processing and office equipment,X,Exports,1992,million USD,1132.787968,,WTO,
CN,China,WL,World,MAMTOTIC,Integrated circuits and electronic components,M,Imports,1992,million USD,1733.5968,,WTO,
CN,China,WL,World,MACH,Chemicals,M,Imports,1992,million USD,11182.7415,,WTO,
CN,China,WL,World,MAIS,Iron and steel,X,Exports,1992,million USD,1321.462528,,WTO,
CN,China,WL,World,MACHPH,Pharmaceuticals,X,Exports,1992,million USD,895.142016,,WTO,
CN,China,WL,World,MA,Manufactures,X,Exports,1992,million USD,66756.16454,,WTO,
CN,China,WL,World,MACL,Clothing,M,Imports,1992,million USD,438.905696,,WTO,
CN,China,WL,World,MAMTAU,Automotive products,M,Imports,1992,million USD,3595.012948,,WTO,
CN,China,WL,World,MAMTTE,Transport equipment,X,Exports,1992,million USD,2160.719272,,WTO,
CN,China,WL,World,MAMTAU,Automotive products,X,Exports,1992,million USD,264.942916,,WTO,
CN,China,WL,World,AG,Agricultural products,M,Imports,1992,million USD,7873.812248,,WTO,
